,WORD,NO. OF MATCHES,BEST_MATCHES
0,OPPOSITESENIORSECOUNDARYSCHOOL,0,
1,AMBEYENCLAVECHAUHANPATTISABHA,0,
2,SCHOOLJAVASCRIPTDATESELECTED,0,
3,MUKANDVIHARCHOWKCYCLEFACTORY,0,
4,BHAGATSINGHMOHLLANEWUSMANPUR,0,
5,RAJDHANIPUBLICSCHOOLWALIGALI,0,
6,AMBEDKARBASTIGHONDANULLNULL,0,
7,MASJIDWALIGALITIRPALFECTORY,0,
8,VIDHYALAYASEELAMPURSHAHDARA,0,
9,IMRATKIRANASTIRESHIVMANDIR,0,
10,GAUTAMPURISHAHDARANULLNULL,0,
11,BHAJANPURASHAHDARANULLNULL,1,BHAJANPURISHAHDARANULLNULL
12,BHAJANPURISHAHDARANULLNULL,1,BHAJANPURASHAHDARANULLNULL
13,BEHINDALOKPUNJPUBLICSCHOOL,0,
14,ZAFARABADSHAHDARANULLNULL,1,JAFFARABASHAHDARANULLNULL
15,INTERNATIONALPUBLICSCHOOL,0,
16,KAITHWARAUSMANPURNULLNULL,0,
17,BRAHAMPURSHAHDARANULLNULL,1,BRAHMPURISHAHDARANULLNULL
18,MASJIDSUBHASHVIHARNORTHGH,0,
19,JAFFARABASHAHDARANULLNULL,1,ZAFARABADSHAHDARANULLNULL
20,BHAJANPURSHAHDARANULLNULL,0,
21,SOMBAZARPRAGATIVIHARGAMRI,0,
22,SEELAMPURSHAHDARANULLNULL,0,
23,ADRDNEARCHANDMASZIDCHUHAN,0,
24,BHAJANPURABHAJANPURADELHI,0,
25,BRAHMPURISHAHDARANULLNULL,1,BRAHAMPURSHAHDARANULLNULL
26,MAINROADPRATAPNAGARSABOLI,0,
27,BRAHMPURSHAHDARANULLNULL,0,
28,MADINAMASZIDVIJAYPARKMAU,0,
29,MANDUBAHAJANPURANULLNULL,0,
30,ZAFRABADSHAHDARANULLNULL,1,ZAFRABADSHADHARANULLNULL
31,USMANPURSHAHDARANULLNULL,0,
32,ZAFRABADSHADHARANULLNULL,1,ZAFRABADSHAHDARANULLNULL
33,MARKETBHAJANPURANULLNULL,0,
34,SILAMPURSHAHDARANULLNULL,1,SILAMPURSAHADARANULLNULL
35,SILAMPURSAHADARANULLNULL,1,SILAMPURSHAHDARANULLNULL
36,AMBEYENCLAVECHAUHANPATTI,0,
37,STAFFQBHAJANPURANULLNULL,0,
38,ZAFRABADSHAHDARASHAHDARA,0,
39,WELCOMESHAHDARANULLNULL,0,
40,PUSTAVIJAYCOLONEYJAGJIT,0,
41,ZAFRABASHAHDARANULLNULL,0,
42,MAUJPURSAHADARANULLNULL,1,MAUJPURSHAHDARANULLNULL
43,MAUJPURSHAHDARANULLNULL,1,MAUJPURSAHADARANULLNULL
44,SEELAMPURSHAHADRAYAMUNA,0,
45,SILAMPUSHAHDARANULLNULL,0,
46,AMBEDKARCOLONYJOHARIPUR,0,
47,WELCOMESEELAMPURWELCOME,0,
48,KATWARASHAHDARANULLNULL,0,
49,BASTISEELAMPURNULLNULL,0,
50,HARIZANBESTIPATALVIHAR,0,
51,BAZARRDSUDAMAPURIGAMRI,0,
52,GHONDASHAHDARANULLNULL,0,
53,PAYALPALACEMARRIGEHOME,0,
54,MOHALLAMAUJPURNULLNULL,0,
55,ROADBHAJANPURANULLNULL,0,
56,PRABHAKERMODERANSCHOOL,0,
57,VIHARKARAWALNAGARDELHI,0,
58,BANGERSHAHDARANULLNULL,0,
59,BHAGIRATHIPUBLICSCHOOL,0,
60,KHAJOORGHONDANULLNULL,0,
61,NAGARSHAHDARANULLNULL,0,
62,NRBEHINDREHMANIMASJID,0,
63,KHADEYWALIMASZIDGAUTA,0,
64,MOHBHAJANPURANULLNULL,1,MKTBHAJANPURANULLNULL
65,COLONYMAUJPURNULLNULL,0,
66,HAMIDMARGSUBHASHVIHAR,0,
67,CHOUHANBANGERNULLNULL,1,CHAUHANBANGERNULLNULL
68,MKTBHAJANPURANULLNULL,1,MOHBHAJANPURANULLNULL
69,VIHARSHAHDARANULLNULL,0,
70,CHAUHANBANGERNULLNULL,1,CHOUHANBANGERNULLNULL
71,NAGARUSMANPURNULLNULL,0,
72,MOHALLAGHONDANULLNULL,0,
73,SILAMPURDELHINULLNULL,0,
